PER,A
16.295090300000002,0.116773
3.179997,0.042321199999999996
201.1214,0.667299
2.89223021,0.038916900000000004
1.2089802,0.018877500000000002
21.2227,0.15199100000000001
32.03,0.177758
143.343,0.534239
2.12823928,0.034023000000000005
18.45847097,0.12948199999999999
4.70832654,0.05404540000000001
1.9214374,0.028875599999999998
76.378033,0.28865100000000005
28.551383,0.18282
42.882,0.263015
76.13602028,0.34680900000000003
5.72812599,0.052250599999999994
143.58,0.476549
16.73652231,0.113697
466.0,1.26054
0.84990789,0.0159542
5.94504102,0.06083909999999999
16.85837,0.128672
3.94963138,0.045770099999999994
0.98494017,0.019308900000000004
2.42180746,0.0157578
5.26341577,0.05980409999999999
5.748145,0.0628192
256.78,0.9026040000000001
39.4419839,0.226767
132.9968322,0.47138599999999997
24.58721573,0.157366
492.3,1.20425
39.475,0.22874499999999998
3066.0,4.29488
4.9816877,0.0547344
3.91795101,0.047981
18.11472949,0.143843
9.751961999999999,0.0893308
4.7780000000000005,0.05320269999999999
3.9466141,0.045182
525.8,1.1835799999999999
533.0,1.36191
2.6940470000000003,0.0425775
15.0217983,0.121485
0.45328509,0.00585017
16.75255007,0.117442
1.74748753,0.0271372
379.0,1.02341
1058.8,2.5395
29.349477500000003,0.17214000000000002
19.80792185,0.140349
2.9895932999999997,0.0432172
1214.0,2.3186400000000003
163.967,0.602232
35.676062,0.212092
7.8773565,0.06309450000000001
1.00520701,0.0200865
3.10129,0.0434856
4.57953,0.0539702
5.37886844,0.0569124
428.5,1.29554
5571.0,6.154669999999999
2.68505749,0.0356726
71.4517775,0.36301
1.7100566000000001,0.030068400000000002
8.67888593,0.0826512
2.14878,0.0390586
5.633472900000001,0.0679088
3.3552400000000002,0.0465021
1405.0,2.60488
4.75793986,0.05817080000000001
10.93241,0.0780146
3.312433,0.0480039
7.8914482999999995,0.0812822
13.821375,0.11271300000000001
2.686502,0.0374388
3.85691855,0.0461241
133.3036741,0.481868
47.9872764,0.254946
20.303005,0.145651
120.8,0.47557
1049.0,2.06642
4.662715,0.054621800000000005
,
5.404780000000001,0.0588328
2.7347749,0.0441609
2.22649109,0.027173900000000004
2.53573424,0.036989
19.1187753,0.142675
559.4048700000001,1.3728
19.57706,0.13785899999999998
17.790036999999998,0.13337000000000002
479.1,1.16693
0.63133235,0.013143700000000001
232.08,0.706259
7.693641,0.07627130000000001
7.055679,0.0719945
18.6489525,0.136705
4.736525,0.0626633
10.3039,0.0914497
499.4,1.28031
13.722341,0.104565
31.3309,0.168484
8.05333618,0.0894052
75.523,0.35565599999999997
5.690586,0.062379899999999995
2.0727599999999997,0.0330527
4.885525,0.062236900000000005
5.0505,0.0566534
30.36044667,0.176071
2.3412127000000003,0.0365155
5.723186,0.0666842
105.595,0.429659
4.14702026,0.0523044
3.092926,0.0387273
2831.6,3.94498
66.5419,0.321369
12.610584,0.10603
1224.0,2.26097
37.910253999999995,0.22660100000000002
6.77408868,0.0718867
52.09059,0.272969
125.59680900000001,0.490824
471.6,1.25186
201.3,0.759258
